episode,score,loss,ep_length,action_0,action_1,action_2,action_3,action_4,shark_dist_avg
435,-265.5677,0.880307,5143,997,948,1160,1071,967,346.3
436,430.4729,0.955051,4861,994,941,1087,965,874,347.21
437,1645.0776,0.933431,15422,3055,3098,3285,3093,2891,310.62
438,1034.2807,0.793185,11070,2209,2416,2085,2442,1918,355.4
439,197.5078,0.755141,2975,485,677,561,727,525,294.37
440,926.1756,0.835424,6405,1077,1334,1113,1559,1322,307.02
441,97.7918,0.79469,2148,370,442,426,547,363,242.44
442,-11.65,0.987938,2,1,0,0,0,1,420.81
443,1725.0175,0.962166,12443,2520,2332,2229,2948,2414,320.01
444,220.6197,0.802809,2186,396,464,401,492,433,237.32
445,-19.4215,0.722459,27,7,1,4,10,5,65.43
446,728.5862,0.787137,7693,1655,1649,1402,1747,1240,381.45
447,171.4724,0.847508,2516,516,565,455,576,404,308.84
448,111.5302,0.888104,3569,748,788,617,814,602,352.88
449,133.709,0.66642,1747,341,396,311,385,314,300.08
450,432.6285,0.860395,2802,535,536,513,677,541,346.97
451,-134.8859,0.874854,3055,587,691,497,827,453,310.8
452,-26.4832,0.803907,13,0,4,1,6,2,670.4
453,850.7859,0.934247,8667,1670,1941,1544,1941,1571,284.04
454,215.592,1.890444,2352,544,396,540,360,512,348.27
455,-17.1767,0.886533,420,94,70,74,116,66,628.61
456,-25.073,1.053867,1702,297,349,273,470,313,219.26
457,145.458,0.946691,2800,507,659,564,564,506,293.16
458,538.6367,0.983954,4532,845,855,855,1017,960,382.8
459,425.941,0.976812,4691,1033,908,958,963,829,313.09
460,484.2317,0.946331,5966,1314,1130,1107,1314,1101,325.83
461,-53.2437,0.771123,259,38,40,46,50,85,228.99
462,1931.0447,0.881732,14582,2917,2683,2668,3544,2770,319.64
463,409.4664,1.089458,3965,745,734,710,1090,686,381.33
464,371.6463,0.985897,2758,580,523,425,639,591,238.89
465,2008.5883,0.939263,14288,2790,2936,2491,3235,2836,335.17
466,-63.2705,0.8792,90,10,21,14,34,11,335.86
467,376.3707,0.895818,3604,643,817,717,732,695,235.7
468,436.5665,0.865632,4505,930,928,796,1005,846,398.36
469,403.5769,2.046635,2913,555,582,625,496,655,307.91
470,-10.0,0.768451,1,0,0,0,1,0,35.13
471,343.9554,0.944268,3511,727,674,694,783,633,336.62
472,171.5658,1.022962,2034,401,408,350,415,460,237.1
473,2124.2938,1.084166,13541,2814,2707,2723,2744,2553,312.09
474,32.0947,0.901172,384,118,77,76,61,52,419.43
