episode,score,loss,ep_length,action_0,action_1,action_2,action_3,action_4,shark_dist_avg
442,309.4983,0.419831,3708,811,749,821,793,534,429.45
443,169.7351,0.41104,1950,391,352,454,467,286,612.18
444,155.7547,0.408585,3991,760,756,768,974,733,413.67
445,345.2981,0.389264,3957,788,833,919,806,611,434.88
446,349.3517,0.369768,3723,720,748,705,845,705,440.66
447,216.5085,0.400031,3745,731,769,779,818,648,407.4
448,126.6337,0.408197,1157,161,159,457,161,219,215.35
449,91.4552,0.400282,3956,857,828,795,880,596,448.68
450,117.9672,0.487899,1061,195,220,358,132,156,602.18
451,256.4895,0.602246,3859,775,761,816,971,536,449.35
452,449.3199,0.628501,3944,794,775,947,697,731,407.59
453,229.0774,0.463094,3895,912,799,857,747,580,436.22
454,355.8247,0.521683,3898,800,790,744,835,729,423.56
455,-62.0273,0.48821,4109,911,862,727,1035,574,428.5
456,371.7578,0.4092,3916,845,767,941,785,578,420.68
457,135.9718,0.43682,3854,800,814,700,955,585,435.79
458,351.2884,0.452799,3930,896,870,719,888,557,414.28
459,383.2232,0.479406,2530,525,476,572,579,378,186.03
460,-15.1416,0.344676,276,37,58,103,48,30,799.12
461,747.6257,0.344747,5962,1014,1178,1188,1428,1154,390.76
462,-184.8524,0.32046,213,95,34,34,25,25,87.07
463,472.7576,0.44937,5475,1067,984,1118,1211,1095,349.78
464,232.496,0.320245,3758,760,765,1008,595,630,411.16
465,293.2488,0.391762,2545,507,532,477,556,473,529.33
466,275.8386,0.447712,2374,491,521,530,456,376,575.3
467,284.6705,0.379415,4055,828,866,930,787,644,405.57
468,-10.0,0.46541,1,0,0,0,0,1,643.53
469,241.7741,0.566896,3969,856,818,831,803,661,425.42
470,322.525,0.394786,4102,881,893,871,796,661,402.65
471,119.6542,0.666993,4173,852,930,827,843,721,407.96
